brand,model,generation,year_from,year_to,pcd,cb,bolt_count,thread_size,center_bore_mm,diameter_min_in,diameter_max_in,width_min_j,width_max_j,et_min,et_max,notes,source_type,source_page,extraction_confidence,needs_manual_review
Skoda,Octavia Scout,Mk3 (5E),2014,2016,5x112,57.1,5,M14 x 1.5,57.1,17.0,18.0,7.0,7.5,45.0,46.0,aggregated_from_modifications=4 | modification_names=1.6TDI | 1.8TSI | 2.0TDI | tables_parsed=4 | rim_rows_parsed=8 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia-scout/2015/,0.9,False
Skoda,Octavia Scout,Mk3 (5E) Facelift,2017,2020,5x112,57.1,5,M14 x 1.5,57.1,17.0,18.0,7.0,7.5,45.0,46.0,aggregated_from_modifications=3 | modification_names=2.0TDI | 2.0TSI | tables_parsed=3 | rim_rows_parsed=6 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia-scout/2019/,0.9,False
Skoda,Octavia Scout,Mk4 (NX),2020,2023,5x112,57.1,5,M14 x 1.5,57.1,18.0,19.0,7.5,8.0,45.0,48.0,aggregated_from_modifications=5 | modification_names=1.5 TSI | 1.5 TSI e-TEC | 2.0 TDI | 2.0 TSI | tables_parsed=5 | rim_rows_parsed=15 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia-scout/2022/,0.9,False
Skoda,Octavia Tour,Mk1 (1U),2004,2010,5x100,57.1,5,M14 x 1.5,57.1,14.0,17.0,6.0,7.5,35.0,42.0,aggregated_from_modifications=7 | modification_names=1.4i | 1.6i | 1.8T | 1.8i | 1.9D | 1.9TDI | 2.0i | tables_parsed=7 | rim_rows_parsed=21 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia-tour/2010/,0.9,False
Skoda,Praktik,5J,2007,2015,5x100,57.1,5,M14 x 1.5,57.1,14.0,17.0,5.0,7.0,35.0,43.0,aggregated_from_modifications=7 | modification_names=1.2MPI | 1.2TDI | 1.2TSI | 1.4MPI | 1.4TDI | 1.6D | 1.6TDI | tables_parsed=7 | rim_rows_parsed=28 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/praktik/2015/,0.9,False
Skoda,Rapid,Mk1 (NH),2012,2017,5x100,57.1,5,M14 x 1.5,57.1,14.0,18.0,5.0,8.0,35.0,46.0,aggregated_from_modifications=20 | modification_names=1.2MPI | 1.2TSI | 1.4TDI | 1.4TSI | 1.6MPI | 1.6TDI | 1.4MPI | tables_parsed=20 | rim_rows_parsed=84 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/rapid/2015/,0.9,False
Skoda,Rapid,Mk1 (NH) Facelift,2017,2020,5x100,57.1,5,M14 x 1.5,57.1,14.0,17.0,5.0,7.0,35.0,46.0,aggregated_from_modifications=12 | modification_names=1.0TSI | 1.4TDI | 1.4TSI | 1.6MPI | 1.6TDI | 1.4MPI | tables_parsed=12 | rim_rows_parsed=52 | aggregated_from_modifications=6 | modification_names=1.4TSI | 1.6MPI | 1.0TSI | 1.5TSI | tables_parsed=6 | rim_rows_parsed=26 | merged_from_urls=2,tirewheelguide,https://tirewheelguide.com/sizes/skoda/rapid/2018/ | https://tirewheelguide.com/sizes/skoda/rapid/2020/,0.9,False
Skoda,Rapid,I (5J) Facelift,2017,2023,5x100,57.1,5,M14 x 1.5,57.1,15.0,17.0,6.0,7.0,38.0,46.0,aggregated_from_modifications=2 | modification_names=1.5TDI | 1.6MPI | tables_parsed=2 | rim_rows_parsed=10 | aggregated_from_modifications=3 | modification_names=1.0 TSI | 1.5TDI | 1.6MPI | tables_parsed=3 | rim_rows_parsed=15 | aggregated_from_modifications=1 | modification_names=1.0 TSI | tables_parsed=1 | rim_rows_parsed=5 | merged_from_urls=3,tirewheelguide,https://tirewheelguide.com/sizes/skoda/rapid/2018/ | https://tirewheelguide.com/sizes/skoda/rapid/2020/ | https://tirewheelguide.com/sizes/skoda/rapid/2022/,0.9,False
Skoda,Rapid,Mk2,2019,2023,5x100,57.1,5,M14 x 1.5,57.1,15.0,17.0,6.0,7.0,38.0,46.0,aggregated_from_modifications=4 | modification_names=1.4 TSI | 1.6 MPI | 1.5 TSI | tables_parsed=4 | rim_rows_parsed=20 | merged_from_urls=2,tirewheelguide,https://tirewheelguide.com/sizes/skoda/rapid/2020/ | https://tirewheelguide.com/sizes/skoda/rapid/2022/,0.9,False
Skoda,Roomster,5J,2006,2015,5x100,57.1,5,M14 x 1.5,57.1,14.0,17.0,5.0,7.0,35.0,43.0,aggregated_from_modifications=8 | modification_names=1.2MPI | 1.2TDI | 1.2TSI | 1.4MPI | 1.6MPI | 1.6TDI | tables_parsed=8 | rim_rows_parsed=48 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/roomster/2015/,0.9,False
Skoda,Scala,I (NW),2019,2023,5x100,57.1,5,M14 x 1.5,57.1,15.0,18.0,6.0,7.0,35.0,40.0,aggregated_from_modifications=6 | modification_names=1.0 TGI | 1.0 TSI | 1.5 TSI | 1.6 MPI | tables_parsed=6 | rim_rows_parsed=36 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/scala/2022/,0.9,False
Skoda,Slavia,Skoda Slavia,2022,2023,5x100,57.1,5,M14 x 1.5,57.1,15.0,16.0,6.0,6.0,,,aggregated_from_modifications=2 | modification_names=1.0 TSI | 1.5 TSI | tables_parsed=2 | rim_rows_parsed=4 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/slavia/2022/,0.55,True
Skoda,Superb,I B5 (3U),2001,2007,5x112,57.1,5,M14 x 1.5,57.1,16.0,19.0,6.0,9.0,37.0,49.0,aggregated_from_modifications=8 | modification_names=1.8T | 1.9TDI | 2.0TDI | 2.0i | 2.5TDI | 2.8i | tables_parsed=8 | rim_rows_parsed=47 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/superb/2004/,0.9,False
Skoda,Superb,II B6 (3T),2008,2017,5x112,57.1,5,M14 x 1.5,57.1,16.0,19.0,6.0,9.0,38.0,50.0,aggregated_from_modifications=9 | modification_names=1.4TSI | 1.6TDI | 1.8TSI | 1.9TDI | 2.0TDI | 2.0TSI | 3.6FSI | tables_parsed=9 | rim_rows_parsed=36 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/superb/2012/,0.9,False
Skoda,Superb,III B8 (3V),2015,2019,5x112,57.1,5,M14 x 1.5,57.1,16.0,20.0,6.5,9.0,35.0,45.0,aggregated_from_modifications=12 | modification_names=1.4TSI | 1.5TSI | 1.6TDI | 1.8TSI | 2.0TDI | 2.0TSI | 2.0 TDI | tables_parsed=12 | rim_rows_parsed=48 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/superb/2018/,0.9,False
Skoda,Superb,III B8 (3V) Facelift,2019,2023,5x112,57.1,5,M14 x 1.5,57.1,16.0,20.0,6.5,8.5,40.0,44.0,aggregated_from_modifications=10 | modification_names=1.4 TSI | 1.4 TSI iV PHEV | 1.5 TSI | 2.0 TDI | 2.0 TSI | tables_parsed=10 | rim_rows_parsed=62 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/superb/2022/,0.9,False
Skoda,Superb Scout,III B8 (3V) Facelift,2019,2023,5x112,57.1,5,M14 x 1.5,57.1,17.0,20.0,7.0,8.5,40.0,44.0,aggregated_from_modifications=3 | modification_names=2.0 TDI | 2.0 TSI | tables_parsed=3 | rim_rows_parsed=18 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/superb-scout/2021/,0.9,False
Skoda,Yeti,5L,2009,2017,5x112,57.1,5,M14 x 1.5,57.1,16.0,18.0,6.0,8.0,44.0,50.0,aggregated_from_modifications=8 | modification_names=1.2TSI | 1.4TSI | 1.6TDI | 1.8TSI | 2.0TDI | tables_parsed=8 | rim_rows_parsed=26 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/yeti/2010/,0.9,False
Skoda,Yeti,5L Facelift,2014,2023,5x112,57.1,5,M14 x 1.5,57.1,16.0,18.0,7.0,7.5,45.0,46.0,aggregated_from_modifications=1 | modification_names=1.6MPI | tables_parsed=1 | rim_rows_parsed=3 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/yeti/2022/,0.9,False
